study,study_published_by_2021,study_published_by_2022,study_published_after_2021,study_published_by_2025,link,study_never_published,study_is_tess,study_is_sociology,study_is_political_science,study_is_communication,study_is_psychology,study_is_social_policy,study_authors,study_title,study_field
Braman751,TRUE,TRUE,FALSE,TRUE,https://onlinelibrary.wiley.com/doi/abs/10.1111/ajps.12582,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Eileen Braman,"Exploring the Role of Constitutional Considerations, Public Support and Personal Preferences in Citizen Assessments of Proposed Congressional Action on Immigration and Gun Control","Political Science, Law, Psychology"
CorstangeBRIEF69,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Daniel Corstange,American Responses to the Syrian Refugee Crisis,Political Science
WallaceS9,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Geoffrey Wallace,"International Law, (Non)Compliance, and Domestic Audience Costs",Political Science
Campbell1308,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,David Campbell; Christina Wolbrecht,The Effects of Exposure to Women Candidates on Political Attitudes,Political Science
senS81,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Maya Sen,Understanding Ideal Descriptive Representation,"Political Science, Law"
FaheyS78,FALSE,FALSE,TRUE,TRUE,https://journals.sagepub.com/doi/pdf/10.1177/1532673X221087601,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,James Fahey; Stephen Utych,"Cancel Culture for Friends, Consequence Culture for Enemies: The Effects of Ideological Congruence on Perceptions of Free Speech",Political Science
Howard823,FALSE,TRUE,TRUE,TRUE,https://journals.sagepub.com/doi/full/10.1177/00222437211068025,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Chuck Howard; David Hardisty; Abigail Sussman; Melissa Knoll,Understanding the Expense Prediction Bias,"Financial Judgement and Decision Making, Consumer Behaviour, Marketing, Psychology"
Krupnikov719,TRUE,TRUE,FALSE,TRUE,https://academic.oup.com/poq/article/83/S1/185/5520299,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Yanna Krupnikov,Does Transparency Affect Survey Research?,Political Science
KuruB67,TRUE,TRUE,FALSE,TRUE,https://academic.oup.com/ijpor/article/32/3/586/5603533?login=true,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Ozan Kuru; Josh Pasek; Michael Traugott,Polls that Matter: Dynamics of Horse Race Polling and Public Evaluation of Poll Reports,"Political Science, Communication"
Levendusky741,TRUE,TRUE,FALSE,TRUE,https://www.journals.uchicago.edu/doi/full/10.1086/693987,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Matthew Levendusky,Can We Reduce Affective Polarization in the Mass Public?,Political Science
McGinty730,TRUE,TRUE,FALSE,TRUE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894867/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Emma McGinty,Portrayals of Serious Mental Illness: Precursor to Violence or Treatable Health Condition?,"Public Health, Sociology, Social Policy"
Merolla843,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Jennifer Merolla,Emotional Reactions to Terrorism and Candidate Evaluations,"Political Science, terrorism, emotions"
Iles1294,FALSE,TRUE,TRUE,TRUE,https://www.sciencedirect.com/science/article/pii/S0277953622005986,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Irina Iles; Arielle S. Gilman; Lauren O'Connor; Rebecca Ferrer; William Klein,Understanding Effects of Communicating Different Types of Conflicting Information About Nutrition and Cancer Risk,"Psychology, Communication"
SchaadS62,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Kylar Schaad,Telling the Story Right: Explaining Support for Transgender and Non-Binary Rights,Sociology
Connors1226,FALSE,FALSE,TRUE,TRUE,https://academic.oup.com/poq/article/87/4/911/7471689,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Elizabeth C. Connors,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,Political Science
KlarS44,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Samara Klar,Gender Versus Party? Do Abortion Frames Affect Issue Engagement?,Political Science
Stoker1063,FALSE,FALSE,TRUE,TRUE,https://link.springer.com/article/10.1007/s11109-025-10023-9#Sec5,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Laura Stoker; Amy E. Lerman; Alexander Sahn,Equivalency Framing of Societal Problems and Policy Solutions,"Political Science, Public Opinion, Psychology"
ThorsonS42,FALSE,FALSE,TRUE,TRUE,https://www.cambridge.org/core/elements/how-news-coverage-of-misinformation-shapes-perceptions-and-trust/6DBC0ED06F52900F0FE207C7E9056AAD,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Emily Thorson,Effects of Misinformation News Coverage on Media Trust,Political Science
Craig735,TRUE,TRUE,FALSE,TRUE,https://journals.sagepub.com/doi/full/10.1177/1948550617712029?casa_token=4TyWyrVV0XUAAAAA%3AyBGfrzERq2ho7uTygst5iee08h9pQpMvrenMbOljFi7TXkTDBjcKqmGobnfrmsaU4vmw56jmFwGYUvo,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Maureen Craig,Racial Majority & Minority Group Members' Psychological and Political Reactions to Minority Population Growth,Psychology
Enos700,TRUE,TRUE,FALSE,TRUE,https://scholar.harvard.edu/files/renos/files/carneyenos.pdf,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Ryan Enos,Is Modern Racism Caused by Anti-Black Affect? An Experimental Investigation of the Attitudes Measured by Modern Racism Scales,Political Science
Blair1131,TRUE,TRUE,FALSE,TRUE,https://www.cambridge.org/core/journals/international-organization/article/do-women-make-more-credible-threats-gender-stereotypes-audience-costs-and-crisis-bargaining/C9CD73BBADA998376C1AD9C4E009600E,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Christopher W. Blair; Joshua A. Schwartz,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,"Political Science, Psychology, Women and Gender Studies, Sociology"
wayne841,TRUE,TRUE,FALSE,TRUE,https://academic.oup.com/poq/article/82/S1/799/4963814#130758582,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Carly Wayne; Nicholas A. Valentino; Marzia Oceno,The Emotional Substrates of Support for Authoritarian Populists,Political Science
Melin1066,FALSE,TRUE,TRUE,TRUE,https://journals.aom.org/doi/abs/10.5465/AMBPP.2022.10631abstract,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Julia Melin,Testing a Theory of Hybrid Femininity,Sociology
ShannonS2,TRUE,TRUE,FALSE,TRUE,http://etheses.lse.ac.uk/4207/1/Shannon__Politics-population-change-three-papers.pdf,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Melissa Shannon,Are Americans Willing to Reject a Fiscal Benefit to Exclude Immigrants from Public Entitlements?,"Political Science, Social Policy"
ShannonS28,TRUE,TRUE,FALSE,TRUE,http://etheses.lse.ac.uk/4207/1/Shannon__Politics-population-change-three-papers.pdf,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Melissa Shannon,Does Harsh Language Referring to Immigrants Translate into Harsher Preferences for Immigration Policies – Or Is It All Politics?,"Political Science, Social Policy"
FarrowS6,TRUE,TRUE,FALSE,TRUE,https://academic.oup.com/oep/article/74/2/523/6333591,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Kate Farrow,Does Misery Love Company?: Exploration of a Strategic Intervention to Improve Well-being,"Psychology, Behavioral Economics"
KlarBRIEF70,TRUE,TRUE,FALSE,TRUE,https://academic.oup.com/poq/article/82/2/379/4996003,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Samara Klar,"Untangling a Dislike for the Opposing Party from a Dislike of Parties, Replication","Political Science, Social Policy"
Mezzapelle1439,FALSE,FALSE,TRUE,TRUE,https://journals.sagepub.com/doi/abs/10.1177/03616843241252658,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Jennifer L. Mezzapelle; Anna-Kaisa Reiman,Do Victims’ Race and Gender Identity Interact to Predict the Perceived Credibility of Sexual Harassment Claims?,Psychology
immigration,TRUE,TRUE,FALSE,TRUE,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-5907.2008.00353.x,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Ted Brader; Nicholas A. Valentino; Elizabeth Suhay,"What Triggers Public Opposition to Immigration? Anxiety, Group Cues, and Immigration Threat",Political Science
death_penalty,TRUE,TRUE,FALSE,TRUE,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-5907.2007.00293.x,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Mark Peffley; Jon Hurwitz,Persuasion and Resistance: Race and the Death Penalty in America,"Political Science, Political Psychology"
patriot_act,TRUE,TRUE,FALSE,TRUE,https://www.cambridge.org/core/journals/american-political-science-review/article/abs/dynamic-public-opinion-communication-effects-over-time/6530A8E20923B3A28AC63F4E778E6D64,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Dennis Chong; James N. Druckman,Dynamic Public Opinion: Communication Effects over Time,"Political Science, Political Psychology"
system_threat,TRUE,TRUE,FALSE,TRUE,https://journals.sagepub.com/doi/abs/10.1177/0956797614527113,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Maureen A. Craig; Jennifer A. Richeson,On the Precipice of a “Majority-Minority” America: Perceived Status Threat From the Racial Demographic Shift Affects White Americans’ Political Ideology,"Social Psychology, Political Psychology"
brandtS1,TRUE,TRUE,FALSE,TRUE,https://www.jstor.org/stable/23481743?typeAccessWorkflow=login,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Mark Brandt,Onset and Offset Controllability in Perceptions and Reactions to Home Mortgage Foreclosures,Psychology
caprarielloS2,TRUE,TRUE,FALSE,TRUE,https://psycnet.apa.org/record/2012-34884-001,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Peter Caprariello,"To Do, to Have, or to Share? Valuing Experiences and Material Possessions by Involving Others",Psychology
flavinS4,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Patrick Flavin,Public Attitudes about Political Equality,Political Science
gashS5,TRUE,TRUE,FALSE,TRUE,https://onlinelibrary.wiley.com/doi/abs/10.1111/polp.12128,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Alison Gash; Michael Murakami,Understanding How Policy Venue Influences Public Opinion,Political Science
melloS6,TRUE,TRUE,FALSE,TRUE,https://law.stanford.edu/wp-content/uploads/sites/default/files/publication/676108/doc/slspublic/Mello_Disclosure-And-Resolution%20Programs%20That%20Include%20Generous%20Compensation%20Offers%20May%20Prompt%20A%20Complex%20Patient%20Response.pdf,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Michelle Mello,Patient Responses to Medical Error Disclosure: Does Compensation Matter?,"Law, Public Health"
jacobsenS7,TRUE,TRUE,FALSE,TRUE,https://www.researchgate.net/profile/Rebecca-Jacobsen/publication/280322135_Informing_or_Shaping_Public_Opinion_The_Influence_of_School_Accountability_Data_Format_on_Public_Perceptions_of_School_Quality/links/56c33ebf08ae602342508170/Informing-or-Shaping-Public-Opinion-The-Influence-of-School-Accountability-Data-Format-on-Public-Perceptions-of-School-Quality.pdf,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Rebecca Jacobsen,Informing the Public or Information Overload? The influence of school accountability data format and on public satisfaction,"Other Discipline, Social Policy, Political Science"
piazzaS8,TRUE,TRUE,FALSE,TRUE,https://onlinelibrary.wiley.com/doi/abs/10.1111/pops.12190,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,James Piazza,Terrorism Suspect Religious Identity and Public Support for Controversial Detention and Interrogation Practices,Political Science
shaferS9,TRUE,TRUE,FALSE,TRUE,https://link.springer.com/article/10.1007/s12147-016-9182-5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Emily Shafer,Why Hillary Rodham Became Hillary Clinton: Consequences of Non-Traditional Last Name Choice in Marriage,Sociology
thompsonS10,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Suzanne C. Thompson,"Terrorist Threat: Overreactions, Underreactions, and Realistic Reaction","Psychology, Threat, Attitudes toward Terrorism"
turagaS11,TRUE,TRUE,FALSE,TRUE,https://www.tandfonline.com/doi/full/10.1080/10807039.2013.858526,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mohana Turaga,"Environmental Values, Beliefs, and Behavior",Social Policy
wallaceS12,TRUE,TRUE,FALSE,TRUE,Apparently the study is published but I can't access it: https://www.semanticscholar.org/paper/The-Reputational-Consequences-of-International-Wallace/494ca50ceba824d5583724b70f8bdd878505e11e,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Geoffrey P. R. Wallace,The Reputational Consequences of International Law and Compliance,Political Science
parmerS15,TRUE,TRUE,FALSE,TRUE,https://getd.libs.uga.edu/pdfs/parmer_john_201112_phd.pdf,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,John Parmer,Smallpox Vaccine Recommendations: Could Trust be a Shot in the Arm?,"Public Health, Communication"
converseS16,TRUE,TRUE,FALSE,TRUE,https://www.pnas.org/doi/abs/10.1073/pnas.0908374106,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Benjamin A. Converse; Nicholas Epley,With God on Our Side,"Social Policy, Psychology"
dennyS17,TRUE,TRUE,FALSE,TRUE,https://www.tessexperiments.org/sup/DennyWorkingPaper.pdf,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Kathleen Denny,"Examining the ‘Raced’ Fatherhood Premium: Workplace Evaluations of Men by Race, Fatherhood Status, and Level of Involvement",Sociology
pedullaS18,TRUE,TRUE,FALSE,TRUE,http://www.tessexperiments.org/sup/Pedulla_PositiveConsequences_2014.pdf,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,David Pedulla,"The Mechanisms of Labor Market Discrimination: How Sex, Gender Role, and Sexual Orientation Treatments Impact Evaluations of Black Male Job Applicants",Sociology
berganS20,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Daniel Bergan,The Flexible Correction Model and Party Labels,"Political Science, Psychology, Communication"
bucci1408,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Rebecca Bucci,Accounting for the Correlation between Perceived Risks and Rewards to Crime,Criminology
bolsenM6,FALSE,FALSE,TRUE,TRUE,https://journals.sagepub.com/doi/pdf/10.1177/20531680241264078,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Toby Bolsen,Do Messages That Encourage the Use of They/Them Pronouns Influence Public Opinion?,Political Science
relihan1399,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Daniel Relihan,Politics and purity: The effect of elite partisan cues on pathogen perceptions,"Psychology, Political Science, Public Health, Communication"
